Question,Answer
What would happen if you could travel faster than light?,"It’s currently impossible according to Einstein's theory of relativity. If it were possible, it would challenge our understanding of causality and potentially lead to time paradoxes."
Can time travel ever be possible?,"Theoretical models, like wormholes or the concept of spacetime bending, suggest that time travel might be possible, but it hasn't been proven or realized in any practical way yet."
What would you see if you looked into a black hole?,"You would not see anything directly because light can't escape, but you could see the effect of the black hole’s immense gravity on surrounding space."
What is the difference between dark matter and dark energy?,"Dark matter is a form of matter that doesn’t emit light, and it affects gravity. Dark energy is a mysterious force accelerating the expansion of the universe."
How does gravity bend light?,"According to Einstein's theory of general relativity, gravity bends the path of light as it travels through space, a phenomenon called gravitational lensing."
Why can't we observe the very beginning of the universe?,"The universe was opaque to light during its first 380,000 years, and before that, it was too hot for light to travel freely."
What would happen if the Earth stopped spinning?,"If the Earth stopped spinning abruptly, the consequences would be catastrophic: the atmosphere would continue moving, causing massive winds and waves."
Can we ever reach the speed of light?,"According to current physics, it would take infinite energy to accelerate an object with mass to the speed of light, making it impossible to reach that speed."
What is the most likely end of the universe?,"There are several theories, including the Big Freeze, Big Crunch, or Big Rip, but scientists currently lean toward the universe continuing to expand forever."
What is quantum entanglement?,"Quantum entanglement is when two particles become linked in such a way that the state of one affects the state of the other, even across vast distances."
What is the multiverse theory?,"The multiverse theory suggests that our universe might be just one of many in a vast 'multiverse,' each with different laws of physics."
Why is the sky blue?,"The sky appears blue because of Rayleigh scattering, where shorter blue wavelengths of light scatter more than red wavelengths when sunlight hits the atmosphere."
What would happen if a human fell into a black hole?,"The person would be stretched and compressed in a process called 'spaghettification' as they approach the singularity, due to the extreme differences in gravity."
What is the Higgs boson?,"The Higgs boson is a particle associated with the Higgs field, which gives mass to other fundamental particles through the Higgs mechanism."
What is the speed of light?,"The speed of light in a vacuum is approximately 299,792 kilometers per second, a fundamental constant in the universe."
What happens if you travel to the edge of the universe?,"Currently, there is no definitive 'edge' of the universe due to its expansion, but traveling as far as possible would still not bring you to an 'end'."
What is the theory of relativity?,"The theory of relativity, developed by Einstein, revolutionized our understanding of space, time, and gravity, particularly showing how gravity affects the fabric of spacetime."
How does light travel through space?,"Light travels as electromagnetic waves through space, not requiring a medium, which is why it can move through the vacuum of space."
Can antimatter exist?,"Yes, antimatter can exist, and it is regularly produced in particle accelerators. When matter and antimatter collide, they annihilate each other, releasing energy."
What is the strongest force in the universe?,"The strongest force in the universe is the strong nuclear force, which binds quarks together inside protons and neutrons."
What is dark energy?,Dark energy is the hypothetical force that is thought to be driving the accelerated expansion of the universe.
What is the Schrödinger's cat paradox?,"Schrödinger's cat paradox illustrates the concept of superposition in quantum mechanics, where a cat inside a box can be both dead and alive until observed."
What is the law of conservation of energy?,"The law of conservation of energy states that energy cannot be created or destroyed, only transformed from one form to another."
Can we ever escape the gravitational pull of Earth?,"Yes, by reaching escape velocity, which is about 11.2 km/s, a spacecraft can break free from Earth's gravity."
What is the difference between mass and weight?,"Mass is the amount of matter in an object, while weight is the force exerted by gravity on that object. Mass is constant, but weight depends on the gravitational pull."
What is a wormhole?,A wormhole is a hypothetical passage through space-time that could create shortcuts for long journeys across the universe.
How do we measure the age of the universe?,The age of the universe is estimated by observing the cosmic microwave background radiation and studying the expansion of the universe through redshift.
Can time be reversed?,"Time, as we experience it, is unidirectional. Some theoretical models suggest time could be reversible under specific conditions, but this remains speculative."
What is the quantum field theory?,Quantum field theory combines quantum mechanics and special relativity to describe how fields like the electromagnetic field interact with matter.
What is the theory of everything?,The theory of everything is a hypothetical framework that aims to unify all fundamental forces of nature into a single theoretical framework.
What is the significance of the speed of light?,The speed of light is fundamental in the theory of relativity and sets a limit for how fast information or matter can travel through space.
How do black holes form?,"Black holes form when massive stars collapse under their own gravity at the end of their life cycle, creating regions where gravity is so intense that not even light can escape."
Can you ever reach the center of a black hole?,"No, because as you approach the singularity, you would be stretched and compressed by intense gravitational forces, and the laws of physics as we know them break down."
What would happen if you could travel inside a black hole?,"You would be crushed by the immense gravity, and the laws of physics would cease to make sense near the singularity."
How do we detect black holes?,"We detect black holes by observing their gravitational effects on nearby stars or gas, or by detecting the X-rays emitted by material falling into them."
What is the event horizon?,"The event horizon is the boundary around a black hole beyond which nothing, not even light, can escape."
What is a neutron star?,"A neutron star is the collapsed core of a massive star that has exploded in a supernova, where the pressure is so great that electrons and protons merge into neutrons."
What is gravitational wave?,"Gravitational waves are ripples in spacetime caused by some of the most violent and energetic processes in the universe, like merging black holes or neutron stars."
What is the observable universe?,"The observable universe is the portion of the entire universe that we can observe, limited by the distance light has been able to travel since the Big Bang."
What is a supernova?,"A supernova is the explosive death of a massive star, which results in a burst of energy and the creation of new elements."
What are quasars?,"Quasars are extremely bright and energetic centers of distant galaxies, powered by supermassive black holes consuming matter."
What is the big bang theory?,"The Big Bang theory is the most widely accepted explanation for the origin of the universe, stating it began from a singularity and has been expanding ever since."
What is a singularity?,"A singularity is a point in space where gravity is so intense that the laws of physics as we know them cease to be useful, often associated with black holes."
What is a parallel universe?,"A parallel universe is a hypothetical, separate universe that may exist alongside our own, with potentially different laws of physics or different outcomes of events."
What is the difference between speed and velocity?,"Speed is a scalar quantity representing how fast an object moves, while velocity is a vector that includes both speed and direction."
What is the Heisenberg uncertainty principle?,The Heisenberg uncertainty principle states that it’s impossible to precisely measure both the position and momentum of a particle simultaneously.
What is the Planck length?,"The Planck length is the smallest measurable length in the universe, beyond which the concepts of space and time lose their meaning."
What is a quantum leap?,"A quantum leap refers to a transition of an electron between energy levels in an atom, often depicted as a sudden, discontinuous change."
What are the four fundamental forces of nature?,"The four fundamental forces are gravity, electromagnetism, the weak nuclear force, and the strong nuclear force."
What is the Doppler effect?,The Doppler effect is the change in frequency or wavelength of a wave as the source of the wave moves relative to the observer.
What is the difference between an atom and a molecule?What is the speed of light?,"An atom is the smallest unit of an element, while a molecule is a group of atoms bonded together, representing the smallest unit of a compound.The speed of light is approximately 299,792,458 meters per second."
What is Heisenberg's uncertainty principle?,Heisenberg's uncertainty principle states that it is impossible to know both the position and momentum of a particle precisely.
What is relativity?,Relativity is the theory that space and time are interconnected and relative to the motion of observers.
What is the second law of thermodynamics?,The second law of thermodynamics states that entropy in an isolated system always increases.
What is a black hole?,"A black hole is a region of spacetime where gravity is so intense that nothing, not even light, can escape."
What is the Planck constant?,"The Planck constant relates the energy of a photon to its frequency, approximately 6.626 × 10⁻³⁴ J·s."
What is the law of conservation of energy?,"The law of conservation of energy states that energy cannot be created or destroyed, only transformed."
What is Newton's first law of motion?,Newton's first law of motion states that an object will remain at rest or in uniform motion unless acted upon by an external force.
What is the law of universal gravitation?,The law of universal gravitation states that every mass attracts every other mass with a force proportional to the product of their masses and inversely proportional to the square of the distance between them.
What is the electromagnetic spectrum?,"The electromagnetic spectrum includes all forms of electromagnetic radiation, from radio waves to gamma rays."
What is a quantum leap?,A quantum leap refers to an electron's transition between energy levels within an atom.
What are the four fundamental forces?,"The four fundamental forces are gravity, electromagnetism, weak nuclear force, and strong nuclear force."
What is the Doppler effect?,The Doppler effect is the change in frequency or wavelength of a wave in relation to an observer.
What is the difference between an atom and a molecule?,"An atom is the smallest unit of an element, while a molecule is a group of atoms bonded together."
What is the conservation of momentum?,The conservation of momentum states that the total momentum of an isolated system remains constant if no external forces act upon it.
What is an electric field?,An electric field is a region where electric charges experience a force.
What creates a magnetic field?,Magnetic fields are created by moving electric charges or magnetic materials.
What is a supernova?,"A supernova is the explosive death of a star, often resulting in a neutron star or black hole."
What is the speed of sound?,The speed of sound is about 343 meters per second in air at room temperature.
What is potential energy?,Potential energy is the stored energy of an object due to its position or configuration.
What is the law of reflection?,The law of reflection states that the angle of incidence equals the angle of reflection.
What is mass-energy equivalence?,"Mass-energy equivalence states that mass can be converted into energy, and vice versa, as described by E = mc²."
What is an isotope?,An isotope is a version of an element with the same number of protons but a different number of neutrons.
What is the principle of relativity?,The principle of relativity states that the laws of physics are the same for all observers in uniform motion.
What is a photon?,A photon is a quantum of light that carries energy proportional to its frequency.
What is the Lorentz force?,The Lorentz force is the force experienced by a charged particle moving through an electromagnetic field.
What is entropy?,Entropy is a measure of the disorder or randomness of a system.
What is the law of conservation of mass?,The law of conservation of mass states that mass is neither created nor destroyed in a chemical reaction.
How fast do electromagnetic waves travel in a vacuum?,"Electromagnetic waves travel at the speed of light in a vacuum, approximately 299,792,458 m/s."
What is a wormhole?,A wormhole is a hypothetical tunnel through spacetime that could create shortcuts for long journeys.
What is the photoelectric effect?,"The photoelectric effect occurs when light strikes a material, causing it to emit electrons."
What is the Schrödinger equation?,The Schrödinger equation describes the evolution of quantum states over time.
What is Newton's second law of motion?,Newton's second law of motion states that the force on an object is equal to its mass times its acceleration.
What is time dilation?,Time dilation refers to the slowing of time as an object moves closer to the speed of light.
What is the strong nuclear force?,The strong nuclear force holds protons and neutrons together in an atom's nucleus.
What is the weak nuclear force?,The weak nuclear force is responsible for radioactive decay and nuclear reactions.
What is Bohr's model of the atom?,Bohr's model explains that electrons orbit the nucleus in discrete energy levels.
What is wave-particle duality?,Wave-particle duality refers to the concept that particles can exhibit both wave-like and particle-like properties.
What is the inverse square law?,The inverse square law states that the intensity of a force or radiation decreases with the square of the distance from the source.
What is Coulomb's law?,"Coulomb's law describes the force between two electric charges, which is proportional to the product of their charges and inversely proportional to the square of the distance between them."
What is an electric current?,"An electric current is the flow of electric charge, typically carried by electrons in a conductor."
What is the principle of superposition?,The principle of superposition states that the net effect of overlapping waves is the sum of their individual effects.
What is the difference between a conductor and an insulator?,"Conductors allow the flow of electric charge, while insulators resist it."
What is resistance in an electric circuit?,Resistance is the opposition to the flow of current in an electric circuit.
What is friction?,Friction is the force that resists relative motion between two surfaces in contact.
What is the work-energy theorem?,The work-energy theorem states that the work done on an object equals its change in kinetic energy.
What is the wave equation?,"The wave equation describes the motion of waves through a medium, such as sound or light."
What is angular momentum?,Angular momentum is the rotational equivalent of linear momentum and is conserved in isolated systems.
What is gravitational potential energy?,Gravitational potential energy is the energy an object possesses due to its position in a gravitational field.
What is absolute zero?,"Absolute zero is the lowest possible temperature, 0 K, where molecular motion ceases."
What is the difference between heat and temperature?,"Heat is the transfer of thermal energy, while temperature is a measure of the average kinetic energy of particles."
What is the speed of gravitational waves?,Gravitational waves are ripples in spacetime caused by accelerating massive objects.
What is the photoelectric effect?,The photoelectric effect shows how light can release electrons from a material.
What is the Heisenberg principle?,"Heisenberg's principle suggests that certain pairs of properties, like position and momentum, cannot both be precisely measured."
What is the Higgs boson?,"The Higgs boson is a particle associated with the Higgs field, which gives particles mass."
What is dark matter?,Dark matter is a type of matter that does not emit or interact with electromagnetic radiation but exerts gravitational effects.
What is dark energy?,Dark energy is a mysterious form of energy that accelerates the expansion of the universe.
What is quantum entanglement?,"Quantum entanglement is a phenomenon where particles become interconnected, such that the state of one affects the other."
What is the uncertainty principle?,"The uncertainty principle states that it is impossible to simultaneously measure certain pairs of properties, like position and momentum."
What is the Pauli exclusion principle?,The Pauli exclusion principle states that no two fermions can occupy the same quantum state simultaneously.
What is a neutrino?,A neutrino is a subatomic particle with very little mass and no electric charge.
What is superconductivity?,Superconductivity is the property of certain materials to conduct electricity with zero resistance at low temperatures.
What is the magnetic field strength?,"Magnetic field strength is a measure of the intensity of a magnetic field, typically expressed in teslas."
What is the principle of least action?,The principle of least action states that the path taken by a system is the one that minimizes the action.
What is a laser?,A laser is a device that emits coherent light through the process of stimulated emission of radiation.
What is the principle of conservation of angular momentum?,The principle of conservation of angular momentum states that the total angular momentum of a system remains constant if no external torque acts on it.
What is a scalar quantity?,"A scalar quantity has magnitude but no direction, while a vector quantity has both magnitude and direction."
What is a vector quantity?,"A photon’s energy is proportional to its frequency, as described by E = hf."
What is a photon’s energy?,The fundamental frequency is the lowest frequency at which a system naturally oscillates.
What is the fundamental frequency?,A harmonic oscillator is a system that exhibits oscillatory motion and follows Hooke's law.
What is a harmonic oscillator?,"The ideal gas law relates pressure, volume, and temperature of an ideal gas, expressed as PV = nRT."
What is the ideal gas law?,"At absolute zero, the entropy of a perfect crystal is zero, as stated by the third law of thermodynamics."
What is the entropy of a perfect crystal at absolute zero?,"Bernoulli's principle states that as the speed of a fluid increases, its pressure decreases.Elastic collisions conserve both momentum and kinetic energy, while inelastic collisions conserve momentum but not kinetic energy."
What is the Bernoulli's principle?What is the difference between kinetic energy and potential energy?,"The Bohr model describes electrons orbiting the nucleus at specific distances, with energy quantized in discrete levels."
What is the principle of conservation of charge?,Neutrons help stabilize the nucleus by offsetting the repulsive forces between positively charged protons.
What is a capacitor?,"The uncertainty principle states that the more precisely one property of a particle is known, the less precisely the other can be known."
What is a wavefunction?,Coulomb's law states that the electrostatic force between two charges is proportional to the product of their charges and inversely proportional to the square of the distance between them.
What is the speed of light in a vacuum?,The Lorentz force is the force exerted on a charged particle moving through an electric and magnetic field.
What is a harmonic wave?,A black hole is a region of spacetime with gravitational forces so intense that not even light can escape.
What is the speed of a photon?,"Classical mechanics deals with macroscopic objects, while quantum mechanics governs the behavior of particles at the atomic and subatomic levels."
What is refraction?,"Gravitational waves are ripples in spacetime caused by accelerating masses, predicted by Einstein's theory of general relativity."
What is diffraction?,"Entropy is a measure of disorder or randomness in a system, and it tends to increase in natural processes."
What is an electromagnetic wave?,The Heisenberg uncertainty principle asserts that we cannot simultaneously measure a particle’s exact position and momentum.
What is the standard model of particle physics?,"The standard model is a theory describing all known fundamental particles and their interactions, except gravity."
What is the function of the Higgs field?,The Higgs boson gives particles mass through their interaction with the Higgs field.
What is a gluon?,"A capacitor stores electrical energy in an electric field, used in circuits to smooth voltage fluctuations."
What is a quark?,"Frequency and wavelength are inversely related in light, with the speed of light constant in a vacuum."
What is the Pauli exclusion principle?,The second law of thermodynamics states that the total entropy of an isolated system can never decrease over time.
What is the difference between an element and a compound?,"The pressure and temperature of a gas are directly proportional at constant volume, as described by Gay-Lussac’s law."
What is a half-life?,"The ideal gas law relates the pressure, volume, temperature, and amount of gas in a system: PV = nRT."
What is a positron?,The principle of superposition states that the net response at any point is the sum of all individual responses from different sources.
What is the fundamental force of gravity?,The speed of sound varies with the medium and is about 343 meters per second in air at 20°C.
What is superconductivity?,The principle of relativity states that the laws of physics are the same in all inertial frames of reference.
What is a Feynman diagram?,The electron cloud is the region around the nucleus where electrons are likely to be found.
What is the Heisenberg uncertainty principle?,A photon is a particle representing a quantum of light or other electromagnetic radiation.
What is the relationship between wavelength and frequency?,"Conductors allow the free flow of electrical charge, while insulators resist the flow of charge."
What is the difference between a scalar and a vector?,Wave-particle duality is the concept that particles such as electrons exhibit both wave-like and particle-like properties.
What is the photoelectric effect?,"A parallel circuit allows current to flow through multiple paths, with the total current being the sum of the individual currents."
What is an electric circuit?,"A series circuit has only one path for current to flow, and the current is the same throughout."
What is Ohm's law?,Work is done when a force is applied to an object causing it to move in the direction of the force.
What is a solenoid?,"A mechanical wave requires a medium to propagate, such as sound waves or water waves."
What is a photon’s energy?,"Gravitational potential energy is energy stored due to an object’s position relative to a gravitational source, while elastic potential energy is stored in stretched or compressed materials."
What is electric potential?,"Wave interference occurs when two or more waves overlap, resulting in constructive or destructive interference."
What is the difference between mass and weight?,The Doppler effect is the change in frequency or wavelength of a wave as the source and observer move relative to each other.
What is the SI unit of force?,"A scalar quantity has only magnitude, such as temperature or mass, while a vector has both magnitude and direction."
What is the relationship between force and acceleration?,"A vector quantity has both magnitude and direction, such as velocity or force."
What is Hooke’s law?,"Heat is the transfer of thermal energy, while temperature is a measure of the average kinetic energy of particles in a substance."
What is thermal conductivity?,The photoelectric effect is the emission of electrons from a material when it absorbs light.
What is a thermodynamic system?,A magnetic field surrounds magnetic materials and moving electric charges and exerts forces on other magnetic objects or charges.
What is the conservation of angular momentum?,Electric charge is a fundamental property of matter that causes particles to experience a force in an electric field.
What is a frictional force?,Force is a push or pull that causes an object to move or change its state of motion.
What is the principle of inertia?,"Nuclear fission is the splitting of a heavy atomic nucleus into two lighter nuclei, releasing energy."
What is the Doppler effect?,"Nuclear fusion is the combining of light nuclei to form a heavier nucleus, releasing energy."
What is an ion?,"The electromagnetic spectrum includes all wavelengths of electromagnetic radiation, from radio waves to gamma rays."
What is the mass-energy equivalence equation?,"Mass and energy are related by the equation E = mc², where E is energy, m is mass, and c is the speed of light."
What is an electric dipole?,Newton’s second law states that the force on an object is equal to its mass times its acceleration (F = ma).
What is a magnetic monopole?,The work-energy theorem states that the work done on an object is equal to the change in its kinetic energy.
What is the direction of the magnetic force on a moving charge?,"Acceleration is the rate of change of velocity, and velocity is the rate of change of position."
What is the relationship between electric field and force?,The wave-particle duality concept describes how particles like photons and electrons can behave both as waves and particles.
What is the difference between elastic and inelastic collisions?,"Magnetic monopoles are hypothetical particles that carry a single magnetic charge, unlike the north and south poles of ordinary magnets."
What is a photon’s momentum?,A transformer changes the voltage of an alternating current by using two coils of wire and electromagnetic induction.
What is an atom's atomic number?,"The strong nuclear force holds protons and neutrons together in the nucleus, overcoming the repulsive force between protons."
What is an atom's mass number?,"The weak nuclear force is responsible for certain types of particle decay, such as beta decay in nuclear reactions."
What is the Schrödinger equation?,"A photon is the quantum of light, carrying energy proportional to its frequency."
What is the nature of sound waves?,"Entropy measures the amount of disorder in a system, with natural processes increasing the total entropy."
What is the photoelectric effect?,An oscilloscope is a device used to visualize electronic signals by displaying voltage over time.
What is the Rydberg constant?,"The speed of light is approximately 299,792,458 meters per second in a vacuum."
What is the concept of work in physics?,"The wave equation describes the propagation of waves, relating the wave’s amplitude, frequency, and wavelength."
What is the relationship between mass and energy?,"The photoelectric effect occurs when light hits a material, causing it to emit electrons."
What is the concept of power in physics?,"Kinetic energy is related to velocity by the formula KE = ½mv², where m is mass and v is velocity."
What is the relationship between power and energy?,"A standing wave is a wave that remains stationary and oscillates in place, typically in a confined medium like a string."
What is Newton’s law of gravitation?,"An open system exchanges both energy and matter with its surroundings, while a closed system only exchanges energy."
What is the difference between velocity and speed?,"Buoyancy is the upward force exerted by a fluid, causing objects to float or sink depending on their density."
What is the elastic potential energy?,A force is a vector quantity that causes an object to accelerate.
What is the relationship between temperature and volume?,The law of conservation of mass states that mass cannot be created or destroyed in a closed system.
What is a gravitational lens?,Gravitational potential energy is energy stored due to an object’s height in a gravitational field.
What is the concept of buoyancy?,"An atom is the smallest unit of matter, consisting of a nucleus and electrons."
What is a blackbody?,"The atomic number is the number of protons in an atom’s nucleus, while the mass number is the sum of protons and neutrons."
What is the Stefan-Boltzmann law?,"A fundamental force is one of the four basic forces in nature: gravitational, electromagnetic, strong nuclear, or weak nuclear."
What is Coulomb's law?,"Nuclear decay is the spontaneous transformation of an unstable atomic nucleus, releasing energy and particles."
What is Faraday's law of induction?,Gravity in space keeps celestial bodies in orbit and governs the motion of galaxies and stars.
What is the Lenz’s law?,"The strong force binds protons and neutrons in an atom's nucleus, overcoming their electrostatic repulsion."
What is a photon?,"Classical mechanics applies to macroscopic systems, while quantum mechanics describes atomic and subatomic phenomena."
What is the mass of a neutron?,"Newton's second law relates force, mass, and acceleration (F = ma)."
What is the mass of an electron?,Work is done when a force causes displacement of an object in the direction of the force.
What is the difference between an ion and an atom?,An ideal gas is a hypothetical gas where the gas particles do not interact except through elastic collisions.
What is the use of a voltmeter?,"Pressure is the force per unit area, and force is the interaction between objects that causes acceleration."
What is the use of an ammeter?,"A supernova is an explosion of a star at the end of its life cycle, often leading to the creation of a neutron star or black hole."
What is a Joule?,"Current is the flow of charge, while voltage is the difference in electric potential that drives current."
What is an atom's nucleus made of?,The relationship between force and acceleration is given by Newton's second law: F = ma.
What is the relationship between frequency and period?,"A capacitor stores electrical energy in an electric field, used to smooth voltage variations in a circuit."
What is a quantum state?,Mechanical energy is the sum of kinetic and potential energy in an object.
What is a wave-particle duality?,The work-energy principle states that work done on an object results in a change in its energy.
What is the photoelectric effect?,"A laser emits light through stimulated emission, producing coherent and monochromatic light."
What is the Heisenberg uncertainty principle?,"Photon energy is given by the formula E = hf, where h is Planck's constant and f is frequency."
What is the concept of dark energy?,"The formula for the speed of light is c = 299,792,458 m/s."
What is the idea of string theory?,The principle of least action states that the path taken by a system is the one that minimizes its action.
What is a singularity?,"Electric current is the flow of charge through a conductor, driven by a potential difference."
What is a quantum tunnel?,"Angular momentum is the rotational equivalent of linear momentum, conserved in closed systems."
What is the difference between a proton and a neutron?,
What is the formula for the energy of a photon?,
What is a force?,
What is the relationship between pressure and volume?,
What is the relationship between velocity and acceleration?,
What is entropy in thermodynamics?,
What is the ideal gas law?,
What is the difference between a conductor and an insulator?,
What is a transformer?,
What is the role of the strong nuclear force?,
What is an electric potential energy?,
What is an atomic orbital?,
What is quantum entanglement?,
What is a photon?,
What is the significance of the Lorentz transformation?,
